,Datetime,Open,High,Low,Close
0,2021-02-24 15:59:59.999,49469.19,49777.0,48758.0,49404.04
1,2021-02-24 16:59:59.999,49404.62,49850.0,48450.0,49819.5
2,2021-02-24 17:59:59.999,49819.49,50150.0,49160.0,49308.28
3,2021-02-24 18:59:59.999,49308.29,50060.31,49303.56,50041.8
4,2021-02-24 19:59:59.999,50046.03,50052.18,49465.15,49570.0
5,2021-02-24 20:59:59.999,49570.0,49690.15,48811.26,48959.93
6,2021-02-24 21:59:59.999,48959.93,49266.39,48581.26,49101.18
7,2021-02-24 22:59:59.999,49101.18,49150.0,48090.0,48707.72
8,2021-02-24 23:59:59.999,48715.97,48950.0,48028.18,48811.63
9,2021-02-25 00:59:59.999,48811.63,49747.49,48722.71,49676.2
10,2021-02-25 01:59:59.999,49676.21,50865.0,49517.01,50507.25
11,2021-02-25 02:59:59.999,50507.24,50884.88,50357.14,50504.71
12,2021-02-25 03:59:59.999,50505.26,50834.43,50421.36,50650.95
13,2021-02-25 04:59:59.999,50650.95,50659.77,50033.94,50206.97
14,2021-02-25 05:59:59.999,50206.97,50366.67,49567.89,49627.34
15,2021-02-25 06:59:59.999,49626.9,50449.07,49533.44,50388.6
16,2021-02-25 07:59:59.999,50391.1,50568.97,50212.79,50453.54
17,2021-02-25 08:59:59.999,50453.54,50559.51,50105.71,50395.99
18,2021-02-25 09:59:59.999,50395.58,50513.35,49534.9,49700.0
19,2021-02-25 10:59:59.999,49700.01,49840.6,48581.71,48977.03
20,2021-02-25 11:59:59.999,48977.03,49729.52,48812.92,49551.51
21,2021-02-25 12:59:59.999,49551.51,50403.14,49551.51,50294.8
22,2021-02-25 13:59:59.999,50299.0,51500.0,50077.0,51487.06
23,2021-02-25 14:59:59.999,51497.98,52041.73,51060.27,51347.6
24,2021-02-25 15:59:59.999,51351.93,51530.0,50599.0,50830.88
25,2021-02-25 16:59:59.999,50830.6,51367.61,50480.0,50849.99
26,2021-02-25 17:59:59.999,50850.0,51370.18,50563.82,50630.66
27,2021-02-25 18:59:59.999,50632.85,50665.78,49306.91,49550.95
28,2021-02-25 19:59:59.999,49550.96,50086.28,49226.09,49544.14
29,2021-02-25 20:59:59.999,49543.04,50000.0,49262.29,49443.86
30,2021-02-25 21:59:59.999,49442.2,49550.01,48529.47,49152.75
31,2021-02-25 22:59:59.999,49151.36,49300.0,48051.0,48101.99
32,2021-02-25 23:59:59.999,48102.01,48900.0,47471.0,48235.85
33,2021-02-26 00:59:59.999,48229.63,48463.27,46674.34,47073.73
34,2021-02-26 01:59:59.999,47073.73,47613.5,46000.0,46801.05
35,2021-02-26 02:59:59.999,46807.84,47479.06,46240.84,46480.48
36,2021-02-26 03:59:59.999,46480.48,47800.0,46124.74,47343.51
37,2021-02-26 04:59:59.999,47343.5,47695.77,46639.24,47330.24
38,2021-02-26 05:59:59.999,47331.34,47786.5,46806.49,47025.06
39,2021-02-26 06:59:59.999,47028.8,47207.4,45502.69,45517.53
40,2021-02-26 07:59:59.999,45524.35,46500.0,45512.02,46093.07
41,2021-02-26 08:59:59.999,46098.99,46430.02,44106.78,44973.68
42,2021-02-26 09:59:59.999,44986.99,45950.0,44939.19,45727.74
43,2021-02-26 10:59:59.999,45727.75,46626.35,45325.0,46410.76
44,2021-02-26 11:59:59.999,46410.76,46880.4,46168.0,46706.85
45,2021-02-26 12:59:59.999,46704.75,46850.0,45662.94,46427.65
46,2021-02-26 13:59:59.999,46427.65,47266.34,46315.08,46823.39
47,2021-02-26 14:59:59.999,46823.38,46999.77,45800.0,45958.41
48,2021-02-26 15:59:59.999,45958.41,47429.0,45828.37,46868.98
49,2021-02-26 16:59:59.999,46869.59,47853.13,46333.0,47594.65
50,2021-02-26 17:59:59.999,47590.66,48219.08,47450.0,48127.26
51,2021-02-26 18:59:59.999,48127.26,48424.11,47542.2,47660.98
52,2021-02-26 19:59:59.999,47659.96,47873.24,47269.99,47317.09
53,2021-02-26 20:59:59.999,47317.09,47478.07,46602.62,46959.17
54,2021-02-26 21:59:59.999,46959.18,47115.38,46071.89,46270.0
55,2021-02-26 22:59:59.999,46270.0,46867.0,45500.0,45677.46
56,2021-02-26 23:59:59.999,45680.0,45988.77,45000.0,45476.3
57,2021-02-27 00:59:59.999,45476.3,46444.57,45368.74,46276.87
